ID,scenario_id,taxonomy_class,subtype,operational_class,anomaly_label,run_idx
normal_mlkem768_mldsa65_cert_run1.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,1
normal_mlkem768_mldsa65_cert_run2.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,2
normal_mlkem768_mldsa65_cert_run3.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,3
normal_mlkem768_mldsa65_cert_run4.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,4
normal_mlkem768_mldsa65_cert_run5.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,5
normal_mlkem768_mldsa65_cert_run6.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,6
normal_mlkem768_mldsa65_cert_run7.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,7
normal_mlkem768_mldsa65_cert_run8.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,8
normal_mlkem768_mldsa65_cert_run9.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,9
normal_mlkem768_mldsa65_cert_run10.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,10
normal_mlkem768_mldsa65_cert_run11.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,11
normal_mlkem768_mldsa65_cert_run12.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,12
normal_mlkem768_mldsa65_cert_run13.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,13
normal_mlkem768_mldsa65_cert_run14.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,14
normal_mlkem768_mldsa65_cert_run15.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,15
normal_mlkem768_mldsa65_cert_run16.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,16
normal_mlkem768_mldsa65_cert_run17.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,17
normal_mlkem768_mldsa65_cert_run18.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,18
normal_mlkem768_mldsa65_cert_run19.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,19
normal_mlkem768_mldsa65_cert_run20.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,20
normal_mlkem768_mldsa65_cert_run21.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,21
normal_mlkem768_mldsa65_cert_run22.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,22
normal_mlkem768_mldsa65_cert_run23.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,23
normal_mlkem768_mldsa65_cert_run24.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,24
normal_mlkem768_mldsa65_cert_run25.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,25
normal_mlkem768_mldsa65_cert_run26.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,26
normal_mlkem768_mldsa65_cert_run27.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,27
normal_mlkem768_mldsa65_cert_run28.pcap,normal_mlkem768_mldsa65_cert,ML,baseline_normal,Compliant_mlkem768,Normal,28
